Pasal,Isi Pasal
"Pasal 72 ayat (1), atau Pasal 80 ayat (1) dikenai","sanksi administratif.
(21 Sanksi administratif sebagaimana dimaksud pada
ayat (l) dapat berupa:a. peringatan secara tertulis;b. penghentian sementara dari kegiatan,
produksi, dan/ atau peredaran;
c. pencabutan Perizinar: Berusaha dan
penarikan Obat Hewan, Pakan, Alat dan Mesin
Peternakan, Alat dan Mesin Kesehatan Hewan,
atau Produk Hewan dari peredaran;
d. pencabutan . . .
SK No0979l0A
PRES IDEN
REPUBLIK INOONESIA
-187-
d. pencabutan Perinnan Berusaha; dan/atau
e. pengenaan denda.
(3) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (21
diatur dalam Peraturan Pemerintah.
19. Ketentuan Pasal 88 diubah sehingga berbunyi sebagai
berikut:"
Pasal 28 ayal(21 dapat diberikan kepada:,"a. perseorangan;
b. koperasi;
c. badan usaha milik negara;
d. badan usaha milik daerah; atau
e. badan usaha milik swasta.
Di antara Pasal 29 dan Pasal 30 disisipkan 2 (dua) pasal,
yakni Pasal 29A dan Pasal 29B sehingga berbunyi
sebagai berikut:"
Pasal 29A,Cukup jelas.
Pasal 298,"Cukup jelas.
Angka 60"
Pasal 34 wajib melindungi Hutan dalam areal,"kerjanya.
(4) Perlindungan Hutan pada Hutan Hak dilal*ukan
oleh pemegang haknya.
(5) Untuk menjamin pelaksanaan perlindungan Hutan
yang sebaik-baiknya, masyarakat diikutsertakan
dalam upaya perlindungan Hutan.
(6) Ketentuan lebih lanjut mengenai perlindungan
Hutan sebagaimana dimaksud pada ayat (1), ayat
(21, ayat (3), ayat (4), dan ayat (5) diatur dalam
Peraturan Pemerintah.
SK No 097918 A16. Ketentuan . . .
PRESIDEN
REPUELIK INDONESIA
-195-
16. Ketentuan Pasal 49 diubah sehingga berbunyi sebagai
berikut:"
Pasal 50A,"Cukup jelas.
Angka 19"
Pasal 80,Cukup jelas.
Pasal 12A,"Cukup jelas.
Angka5. . .
SK No 137486 A
PRESIDEN
REPTJBLIK INDONESIA
-tt7-
Angka 5"
"Pasal 12 huruf a, huruf b, huruf c, Pasal 17 ayat (1)","huruf b, huruf c, huruf e, atau Pasal 17 ayat (21
huruf b, huruf c, atat huruf e serta kegiatan lain di
Kawasan Hutan tanpa Perizinan Berusaha yang
dilakukan oleh badan hukum atau Korporasi
dikenai sanksi administratif berupa:
a. teguran tertulis;
b. paksaan pemerintah;
c. dendaadministratif;
d. pembekuan Per2inan Berusaha; dan/atau
e. pencabutan Perizinal Berusaha.7
SK No 097930 A(2) Ketentuan . . .
8FRESIDEN
REPUBLIK INDONESIA
-207 -
(2) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (l)
diatur dalam Peraturan Pemerintah.
Ketentuan PasaT 24 diubah sehingga berbunyi sebagai
berikut:
PasaL24
Setiap Orang dilarang:
a. memalsukan Perizinan Berusaha terkait
Pemanfaatan Hasil Hutan Kayu danlatanu
penggunaan Kawasan Hutan;
b. menggunakan Perizinan Berusaha palsu terkait
Pemanfaatan Hasil Hutan Kayu dan/ atau
penggunaan Kawasan Hutan; dan/ atau
c. memindahtangankan atau menjual Pbrizinan
Berusaha terkait Pemanfaatan Hasil Hutan kecuali
dengan persetujuan dari Pemerintah Pusat.
Ketentuan Pasal 28 diubah sehingga berbunyi sebagai
berikut:"
Pasal 83,Angka 1
Pasal 84,Angka 1
Pasal 12 huruffdipidana bagi:,"a. pengurusnya dengan pidana penjara paling
singkat 2 (dua) tahun dan paling lama 15 (lima
belas) tahun dan pidana denda paling sedikit
Rp2.00O.0O0.O00,O0 (dua miliar rupiah) dan
paling banyak Rp15.O00.000.000,00 (lima
beias miliar rupiah); dan/ atau
b. Korporasi dikenai pemberatan 1/3 (satu per
tiga) dari denda pidana yang dijatuhkan.
SK No 097936 A15. Ketentuan . . .
PRESIDEN
REPUBLIK INDONESIA
-2t3-
15. Ketentuan Pasal 85 diubah sehingga berbunyi sebagai
berikut:"
Pasal 85,Cukup jelas.
Pasal 105,"Cukup jelas.
Angka 12"
Pasal 28 huruff; dan/atau,"g. dengan sengaja melakukan pembiaran dalam
melaksanakan tugas sehingga terjadi tindak
pidana Pembalakan Liar dan/ atau Penggunaan
Kawasan Hutan Secara Tidak Sah sebagaimana
dimaksud dalam Pasal 28 huruf g,
dipidana dengan pidana penjara paling singkat 1 (satu)
tahun dan paling lama 10 (sepuluh) tahun serta pidana
denda paling sedikit Rpl.000.OO0.O0O,00 (satu miliar
rupiah) dan paling banyak Rp10.OO0.OO0.00O,0O
(sepuluh miliar rupiah).
SK No 097942A2O. Di antara. . .
PRES IOEN
REPUBLIK INOONESIA
-2L9-
20. Di antara Pasal 110 dan Pasal 111 disisipkan 2 (dua)
pasal, yakni Pasal ll0A dan Pasal 1108 sehingga
berbunyi sebagai berikut:"
Pasal 110A,"(1) Setiap Orang yang melakukan kegiatan usaha yang
telah terbangun dan memiliki Perizinan Berusahadi dalam Kawasan Hutan sebelum berlakunya
Undang-Undang ini yang belum memenuhi
persyaratan sesuai dengan ketentuan peraturan
perundang-undangan di bidang kehutanan, wajib
menyelesaikan persyaratan paling lambat tanggal 2
November 2023.
(21 Dalam hal Setiap Orang yang melakukan ke$atan
usaha yang telah terbangun dan memiliki Perizinan
Berusaha di dalam Kawasan Hutan tidak
menyelesaikan persyaratan dalam jangka waktu
ssfagaimana dimaksud pada ayat (1), dikenai
sanksi administratif berupa:
a. pembayaran denda administratif; dan/ atau
b. pencabutan Penzinarr Berusaha.
(3) Ketentuan lebih lanjut mengenai lata cara
pengenaan sanksi administratif dan tata cara
penerimaan negara bukan pajak yang berasal dari
denda administratif ssfagairn4n6 dimaksud pada
ayal (21 diatur dalam Peraturan Pemerintah.
Pasal l lOB
(l) Setiap Orang yang melakukan pelanggaran
sebagaimana dimaksud dalam Pasal 17 ayat (ll
huruf b, hurufc, dan/ atau huruf e, dan/ atau Pasal
17 ayat (2) hurufb, hurufc, dan/ atau hurufe, atau
kegiatan lain di Kawasan Hutan tanpa memiliki
Perizinan Berusaha yang dilakukan sebelum
tanggal 2 November 2O2O dikenai sanksi
administratif, berupa:
a. penghentian sementara kegiatan usaha;
b. pembayaran denda administratif; dan/ atau
c. paksaan pemerintah.
SK No 097943 A(2) Dalam . . .
PRES IDEN
REPUBLIK INDONESIA
-220-
(21 Dalam hal pelanggaran sebagaimana dimaksud
pada ayat (1) dilakukan oleh orang perseorangan
yang bertempat tinggal di dalam dan/ atau di
sekitar Kawasan Hutan paling singkat 5 (lima)
tahun secara terus menerus dengan luasan paling
banyak 5 (lima) hektare, dikecualikan dari sanksi
administratif dan diselesaikan melalui penataan
Kawasan Hutan.
(3) Ketentuan lebih lanjut mengenai ta:ta cara
pengenaan sanksi administratif dan tata cara
penerimaan negara bukan pajak yang berasal dari
denda administratif sebagaimana dimaksud pada
ayat (1) diatur dalam Peraturan Pemerintah.
21. Pasal 1ll dihapus.
22. Pasal 112 dihapus.
Paragraf 5
Energi dan Sumber Daya Mineral"
Pasal 128A,"Cukup jelas.
Angka 2"
Pasal 128.,"(21 Pemberian perlakuan tertentu terhadap kewajiban
penerimaan negara sebagaimana dimaksud pada
ayat (1) untuk kegiatan Pengembangan dan/ atau
Pemanfaatan Batubara dapat berupa pengenaan
iuran produksi/royalti sebesar 0% (nol persen).
SK No 097945 A(3) Ketentuan. . .
2PRESIDEN
REPUBLIK INDONESIA
-222-
(3) Ketentuan lebih lanjut mengenai perlakuan
tertentu sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Pemerintah.
Ketentuan Pasal 162 diubah sehingga berbunyi sebagai
berikut:"
Pasal 162,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Yang dimaksud dengan ""kondisi insolven' adalah kondisi di
mana Lembaga kekurangan modal yang berdampak pada
kesulitan untuk melakukan kegiatan usaha dalam jangka
panjang."
Pasal 23A,"Cukup jelas.Ayat (1)
Berdasarkan jiwa Pasal 33 ayat (3) Undang-Undang Dasar
Negara Republik Indonesia Tahun 1945, Minyak dan Gas
Bumi sebagai sumber daya alam strategis yang terkandung
di dalam bumi Wilayah Hukum Pertambangan Indonesia
merupakan kekayaan nasional yang dikuasai negara.
Penguasaan oleh negara sebagaimana dimaksud di atas
adalah agar kekayaan nasional tersebut dimanfaatkan bagi
sebesar-besar kemakmuran seluruh ralgrat Indonesia.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
SK No 137494AAngka6. . .
PRESIDEN
REPUELIK INDONESIA
-t25-
Angka 6"
Pasal 53,Cukup jelas.
"Pasal 4 ayat (21 sesuai dengan norna, standar,","prosedur, dan kriteria yang ditetapkan oleh
Pemerintah Pusat dilakukan untuk Pemanfaatan
Langsung yang berada pada:
SK No 097953 Aa. lintas...
3IlRESIDEN
REPUBLIK INDONESIA
-230-
a. lintas wilayah kabupaten / kota dalam satu
provinsi, termasuk Kawasan Hutan produksi
dan Kawasan Hutan lindung; dan
b. wilayah laut paling jauh 12 (dua belas) mil
diukur dari garis pantai ke arah laut lepas
dan/ atau ke arah perairan kepulauan.
(3) Penyelenggaraan Panas Bumi oleh Pemerintah
Daerah kabupaten/ kota sebagaimana dimaksud
dalam Pasal 4 ayat (2) sesuai dengan norma,
standar, prosedur, dan kriteria yang ditetapkanoleh Pemerintah Pusat, dilakukan untuk
Pemanfaatan Langsung yang berada pada:
a. wilayah kabupaten/kota, termasuk Kawasan
Hutan produksi dan Kawasan Hutan lindung;
dan
b. wilayah laut paling jauh 1/3 (satu per tiga)
dari wilayah laut kewenangan provinsi.
Ketentuan Pasal 6 diubah sehingga berbunyi sebagai
berikut:"
Pasal 14 dihapus.,"10. Ketentuan Pasal 15 diubah sehingga berbunyi sebagai
berikut:"
"Pasal 11, termasuk harga energi Panas Bumi, diatur","dalam Peraturan Pemerintah.8
9
SK No 097957 AI 1. Ketentuan . . .
FRES IDEN
REPUBLIK INOONESIA
-234-
11. Ketentuan Pasal 23 diubah sehingga berbunyi sebagai
berikut:"
"Pasal 26 ayat (1) atau ayat (2), Pasal 27 ayat (l) atau","ayat (3), Pasal 31 ayat (3), atau Pasal 32 ayat (2)
dikenai sanksi administratif.
(21 Sanksi administratif sebagaimana dimaksud pada
ayat (1) berupa:
a. peringatan tertulis;
b. penghentian sementara seluruh kegiatan;
c. denda administratif; dan/atau
d. pencabutan Perizinarr Bemsaha.
(3) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (2)
diatur dalam Peraturan Pemerintah.
18. Ketentuan Pasal 42 diubah sehingga berbunyi sebagai
berikut:
SK No 097960 APasaJ42...
PRESIDEN
REPUELIK INDONESIA
-237 -"
Pasal 11 ayat (1) yang dengan sengaja melakukan,"pengusahaan Panas Bumi untuk Pemanfaatan
Langsung tidak pada lokasi yang ditetapkan dalam
Perizinan Berusaha yang mengakibatkan timbulnya
korban/kerusakan terhadap kesehatan, keselamatan,
dan/ atau lingkungan, dipidana dengan pidana penjara
paling lama 2 (dua) tahun 6 (enam) bulan atau pidana
denda paling banyak Rp7.000.0OO.0O0,O0 (tujuh miliar
rupiah).
SK No 097965 A30. Ketentuan . . .
PRESIDEN
REPUBLIK INDONESIA
-242-
30. Ketentuan Pasal 69 diubah sehingga berbunyi sebagai
berikut:"
Pasal 72,Angka 1
Pasal 26 ayat (1) dipidana dengan pidana denda paling,"banyak Rp 1 0O.0O0. 000.000,00 (seratus miliar rupiah).
34. Ketentuan Pasal 73 diubah sehingga berbunyi sebagai
berikut:"
Pasal 10 ayat (1) dilaksanakan oleh badan usaha,"milik negara, badan usaha milik daerah, badan
usaha swasta, koperasi, dan swadaya masyarakat
yang berusaha di bidang penyediaan Tenaga
Listrik.
(21 Badan usaha milik negara sebagaimana dimaksud
pada ayat (1) diberi prioritas pertama melakukan
Usaha Penyediaan Tenaga Listrik untuk
kepentingan umum.
(3) Badan usaha milik negara, badan usaha milik
daerah, badan usaha swasta, koperasi, dan
swadaya masyarakat dalam melakukan Usaha
Penyediaan Tenaga Listrik untuk kepentingan
umum wajib mengutamakan produk dan potensi
dalam negeri.
(4) Untuk. . .
SK No 097974 A
8PRES IDEN
REPUBLIK INDONESIA
-25t-
(41 Untuk wilayah yang belum mendapatkan
pelayanan Tenaga Listrik, Pemerintah Pusat atau
Pemerintah Daerah provinsi sesuai dengan
kewenangannya mernberi kesempatan kepada
badan usaha milik daerah, badan usaha swasta,atau koperasi sebagai penyelenggara Usaha
Penyediaan Tenaga Listrik terintegrasi.
(5) Dalam hal tidak ada badan usaha milik daerah,
badan usaha swasta, atau koperasi yang dapat
menyediakan Tenaga Listrik di wilayah tersebut,
Pemerintah Pusat wajib menugasi badan usaha
milik negara untuk menyediakan Tenaga Listrik.
Ketentuan Pasal 13 diubah sehingga berbunyi sebagai
berikut:"
Pasal 12 dilaksanakan hanya untuk pemakaian,"sendiri.
(21 Usaha Penyediaan Tenaga Listrik untuk
kepentingan sendiri dapat dilaksanakan oleh
instansi Pemerintah Pusat, instansi Pemerintah
Daerah, badan usaha milik negara, badan usaha
milik daerah, badan usaha swasta, koperasi,
perseorangan, dan lembaga/ badan usaha lainnya.
(3) Instansi Pemerintah Pusat, instansi Pemerintah
Daerah, badan usaha milik negara, badan usaha
milik daerah, badan usaha swasta, koperasi,
perseorangan, dan lembagal badan usaha lainnya
dalam melaksanakan Usaha Penyediaan TenagaListrik, untuk kepentingan sendiri wajib
mengutamakan produk dan potensi dalam negeri.
Ketentuan Pasal 16 diubah sehingga berbunyi sebagai
berikut:9"
Pasal 16. . .,"SK No 097975 A
PRESIOEN
REPUBLIK INDONESIA
-252-"
Pasal 18. . .,"PRESIDEN
REPUBLIK INDONESIA
-253-"
Pasal 18 diberikan kepada badan usaha untuk,"kegiatan:
a. Usaha Penyediaan Tenaga Listrik untuk
kepentingan umum;
b. Usaha Penyediaan Tenaga Listrik untuk
kepentingan sendiri; dan
c. usaha penunjang Tenaga Listrik.
(21 Perizinan Berusaha untuk kegiatan penyediaan
Tenaga Listrik untuk kepentingan umum
sebagaimana dimaksud pada ayat (1) huruf a
termasuk untuk kegiatan jual beli Tenaga Listrik
lintas negara.
(3) Setiap Orang yang menyelenggarakan kegiatanUsaha Penyediaan Tenaga Listrik untuk
kepentingan umum, Usaha Penyediaan Tenaga
Listrik untuk kepentingan sendiri, dan usaha
penunjang Tenaga Listrik wajib memenuhi
Perizinan Berusaha sebagaimana dimaksud pada
ayat (1).
12. Pasal 20 dihapus.
13. Ketentuan Pasal 21 diubah sehingga berbunyi sebagai
berikut:"
Pasal 2 1,"Cukup jelas.
Angka 4
Pasal22
Cukup jelas.
SK No 041869 AAngka5...
Angka 5PRESIDEN
REPUELIK INDONESIA
-291 -
Usaha Koperasi terutama diarahkan pada bidang usaha
yang berkaitan langsung dengan kepentingan anggotabaik untuk menunjang usaha . maupun
kesejahteraannya. Dalam hubungan ini maka
pengelolaan usaha Koperasi harus dilakukan secara
produlrtif, efelrtif dan efisien dalam arti pelayanan usaha
yang dapat meningkatkan nilai tambah dan manfaat yang
sebesar-besarnya pada anggota dengan tetap
mempertimbangkan untuk memperoleh sisa hasil usaha
yang wajar. Untuk mencapai kemampuan usaha seperti
tersebut di atas, maka Koperasi dapat berusaha secara
luwes baik ke hulu maupun ke hilir serta berbagai jenis
usaha lainnya yang terkait. Adapun mengenai
pelaksanaan usaha Koperasi, dapat dilakukan di mana
saja, baik di dalam maupun di luar negeri, dengan
mempertimbangkan kelayakan usahanya.Pasal 43
Ayat (l)
Ayat (21
Cukup jelas.
Ayat (3)
Yang dimaksud dengan ""kelebihan kemampuan
pelayanan Koperasi"" adalah kelebihan kapasitas dana
dan daya yang dimiliki oleh Koperasi untuk melayani
anggotanya. Kelebihan kapasitas tersebut oleh Koperasi
dapat dimanfaatkan untuk berusaha dengan bukan
anggota dengan tujuan untuk skala
ekonomi dalam arti memperbesar volume usaha dan
menekan biaya per unit yang memberikan manfaat
sebesar-besarnya kepada anggotanya serta
memasyarakatkan Koperasi.
SK No041870AAyat(a) ...
PRESIDEN
REPUELIK INDONESIA
-292-
Ayat (4)
Ayat (5)
Cukup jelas.
Angka 6
Pasa1 44A
Cukup jelas."
Pasal 22,"Cukup jelas.
Angka 16"
Pasal 24,"Cukup jelas.
Angka 18"
"Pasal 19 ayat (3), Pasal22, Pasal 23 ayat (1), Pasal","27 ayat (2), Pasal 28, Pasal 3O ayat (1), Pasal 35,"
"Pasal 37, Pasal 42, Pasal 44 ayat (1), ayat (4) atau","ayat (5), atau Pasal 45 ayat (3) dikenai sanksi
administratif berupa:
a. teguran tertulis;
b. pembekuan kegiatan sementara;
c. denda; dan/atau
d. pencabutan Perizinan Berusaha.
(21 Setiap Orang yang mendirikan bangunan atau
membiarkan bangunan dan/atau menanam
kembali tanaman yang:
a. telah diberi ganti rugi sebagaimana dimaksud
dalam Pasal 30 ayat (2) dan/ atau Kompensasi
sebagaimana dimaksud dalam Pasal 30 ayat
(3);
b. berpotensi masuk ke ruang bebas atau jarak
bebas minimum jaringan Tenaga Listrik;
dan/ atau
SK No 097987 Ac. berpotensi . . .
PRESIOEN
REPUBLIK INDONESIA'
-264-
c. berpotensi membahayakan keselamatan
dan I atau mengganggu keandalan penyediaan
Tenaga Listrik,
dikenai sanksi administratif.
(3) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (2)
diatur dalam Peraturan Pemerintah.
31. Ketentuan Pasal 49 diubah sehingga berbunyi sebagai
berikut:"
"Pasal 19 ayat (3) yang mengakibatkan timbulnyakorban/kerusakan terhadap kesehatan,","keselamatan, dan/atau lingkungan dipidana
dengan pidana penjara paling lama 3 (tiga) tahundan pidana denda paling banyak
Rp3.O00.O00.000,0O (tiga miliar rupiah).
(21 Setiap Orang yang melakukan Usaha Penyediaan
Tenaga Listrik untuk kepentingan sendiri tanpa
Perizinan Berusaha sebagaimana dimaksud dalam"
Pasal 19 ayat (3) yang mengakibatlan timbulnya,"korban/ kerusakan terhadap kesehatan,
keselamatan, dan/atau lingkungan dipidanadengan pidana denda paling banyak
Rp4.000.O00.000,00 (empat miliar rupiah).
(3) Setiap Orang yang menjual kelebihan Tenaga
Listrik . untuk dimanfaatkan bagi kepentingan
umum tanpa persetujuan dari Pemerintah Pusat
atau Pemerintah Daerah sebagaimana dimaksud
dalam Pasal 23 ayat (1) yang mengakibatkan
timbulnya korban/ kerusakan terhadap kesehatan,
keselamatan, dan/atau lingkungan dipidana
dengan pidana penjara paling lama 2 (dua) tahun
dan pidana denda paling banyak
Rp2.O00.00O.000,O0 {dua miliar rupiah).
SK No 097988 A32. Ketentuan . . .
PRES IDEN
REPUBLIK INDONESIA
-265-
32. Ketentuan Pasal 50 diubah sehingga berbunyi sebagai
berikut:"
Pasal 5O,"Cukup jelas.
Angka2T"
Pasal 44 ayat (1) yang mengakibatkan kematian,"seseorang karena Tenaga Listrik dipidana dengan
pidana penjara paling lama 1O (sepuluh) tahun dan
pidana denda paling banyak Rp 1.0OO.0O0.000,00
(satu miliar rupiah).
l2l Apabila perbuatan sebagaimana dimaksud pada
ayat (l) dilakukan oleh pemegang Perizinan
Berusaha untuk kegiatan usaha Penyediaan
Tenaga Listrik, pelaku dipidana dengan pidana
penjara paling lama 1O (sepuluh) tahun dan pidana
denda paling banyak Rp1.50O.0O0.0OO,00 (satu
miliar lima ratus juta, rupiah).
(3) Selain pidana sebagaimana dimaksud pada ayat
(2), pemegang Perizinan Berusaha untuk kegiatan
usaha Penyediaan Tenaga Listrik wajib memberi
ganti rugi kepada korban.
(4) Penetapan dan tata cara pembayaran ganti rugi
sebagaimana dimaksud pada ayat (3) dilaksanakan
sesuai dengan ketentuan peraturan perundang-
undangan.
33. Di antara Pasal 50 dan Pasal 51 disisipkan I (satu)
pasal, yakni Pasal 5lA sehingga berbunyi sebagai
berikut:"
Pasal 51A,"Cukup jelas.
Angka34...
SK No 158342 A
r:lPRESIDEN
LIBLIK INDONESIA
-139-
Angka 34"
Pasal 54(1) Setiap Orang yang mengoperasikan instalasi,"Tenaga Listrik tanpa sertifikat laik operasi
sebagaimana dimaksud dalam Pasal 44 ayat (41
yang mengakibatkan timbulnya korban dipidana
dengan pidana penjara paling lama 5 (lima) tahundan pidana denda paling banyak
Rp5O0.000.000,00 (lima ratus juta rupiah).
(21 Dalam hal instalasi listrik rumah tangga
masyarakat dioperasikan tanpa sertifikat laik
operasi, dampak yang timbul akibat ketiadaan
sertilikat laik operasi menjadi tanggung jawab
penyedia Tenaga Listiik.
Paragraf 6
Ketenaganukliran"
Pasal 2A,"Cukup jelas.
Angka2"
Pasal 10 dihapus.,"Penjelasan Pasal 14 diubah sebagaimana tercantum
dalam penjelasan.
Ketentuan Pasal 17 diubah sehingga berbunyi sebagai
berikut:7"
Pasal 17. . .,"SK No 132652 A
PRESIDEN
REPUELIK INDONESIA
-427 -
6Pasal 17
Setiap perubahan terhadap rancang bangun Pesawat
Udara, mesin Pesawat Udara, atau baling-baling
Pesawat Terbang yang telah mendapat sertifrkat tipe
sebagaimana dimaksud dalam Pasal 15 harus
mendapat persetqjuan dari Pemerintah Pusat.
Ketentuan Pasal 18 diubah sehingga berbunyi sebagai
berikut:"
Pasal 18 dihapus.,"Ketentuan Pasal 20 diubah sehingga berbunyi sebagai
berikut:"
Pasal 48A,"Cukup jelas.
Angka 3"
Pasal 1O4,"Setiap Perusahaan Industri yang memenuhi Perizinan
Berusaha sebagaimana dimaksud dalam Pasal 101 ayat(3) dapat melakukan perluasan sesuai dengan
ketentuan peraturan perundang-undangan.
11. Ketentuan Pasal 105 diubah sehingga berbunyi sebagai
berikut:"
Pasal 105A,"Cukup jelas.
Angka 13"
Pasal 106,"Angka 1
Pasal I
Cukup jelas.
Angka2"
Pasal 108,"Cukup jelas.
Angka 15"
"Pasal 105, dan kewajiban berlokasi di Kawasan Industri","sebagaimana dimaksud dalam Pasal 106 serta tata cara
pengenaan sanksi administratif dan besaran denda
administratif sebagaimana dimaksud dalam Pasal 107
diatur dalam Peraturan Pemerintah.
15. Ketentuan Pasal 115 diubah sehingga berbunyi sebagai
berikut:"
Pasal 115,Angka I
Pasal 117,Angka 1
Pasal 35 ayat (21.,"(21 Setiap Pelaku Usaha yang melanggar ketentuan
penetapan Barang dan/atau Jasa sebagaimana
dimaksud pada ayat (1) dikenai sanksi
administratif.
1O. Ketentuan Pasal 38 diubah sehingga berbunyi sebagai
berikut:9"
Pasal 38...,"SK No 160375A
I-T{TTEETiltrEEtrtrEIn
-285-"
Pasal 46...,"SK No 160377 A
ETiltrtrtrINEENtrEIA
-247 -"
Pasal 5l,"(1) Perusahaan Penempatan Pekerja Migran Indonesia
sebagaimana dimaksud dalam Pasal 49 huruf b
wajib memiliki izin yang memenuhi Perizinan
Berusaha dan diterbitkan oleh Pemerintah Pusat.
(21 Izin sebagaimana dimaksud pada ayat (1) tidak
dapat dialihkan dan dipindahtangankan kepada
pihak lain.
(3) Perizinan Berusaha sebagaimana dimaksud pada
ayat (1) harus memenuhi norma, standar,
prosedur, dan kriteria yang ditetapkan oleh
Pemerintah Pusat.
Ketentuan Pasal 53 diubah sehingga berbunyi sebagai
berikut:"
Pasal 63...,"SK No 137226A
PRESIDEN
REPUBLIK INDONESIA
-606-"
Pasal 74,Cukup jelas.
"Pasal 17 ayat (21, Pasal 24 ayat (3), Pasal 33 ayat","(3), Pasal 37 ayat (2), Pasal 43 ayat (2), Pasal 46
ayat (21, Pasal 52 ayat (3), Pasal 57 ayat (7), Pasal
60 ayat (6), Pasal 63, Pasal 65 ayat (6), atau Pasal
77 ayat (3) dapat berupa:
a. teguran tertulis;
b. penarikan Barang dari Distribusi;
c. penghentian sementara kegiatan usaha;
d. penutupan Gudang;
e. denda; dan/atau
SK No 160385 Af. pencabutan . . .
E.l-+ATiEIIl
REPUBLIK INDONESIA
-295-
f. pencabutan Perizinan Berusaha.
(2) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Pemerintah.
28. Ketentuan Pasal 81 diubah sehingga berbunyi sebagai
berikut:"
